matchweek,position,team,league,season
31,18,Elche CF,LaLiga,2025/2026
31,19,Levante,LaLiga,2025/2026
31,20,Real Oviedo,LaLiga,2025/2026
32,1,Barcelona,LaLiga,2025/2026
32,2,Real Madrid,LaLiga,2025/2026
32,3,Villarreal,LaLiga,2025/2026
32,4,Atlético,LaLiga,2025/2026
32,5,Real Betis,LaLiga,2025/2026
32,6,Celta de Vigo,LaLiga,2025/2026
32,7,Real Sociedad,LaLiga,2025/2026
32,8,CA Osasuna,LaLiga,2025/2026
32,9,Getafe,LaLiga,2025/2026
32,10,Espanyol,LaLiga,2025/2026
32,11,Girona,LaLiga,2025/2026
32,12,Valencia,LaLiga,2025/2026
32,13,Athletic Club,LaLiga,2025/2026
32,14,Rayo Vallecano,LaLiga,2025/2026
32,15,Alavés,LaLiga,2025/2026
32,16,Elche CF,LaLiga,2025/2026
32,17,RCD Mallorca,LaLiga,2025/2026
32,18,Sevilla FC,LaLiga,2025/2026
32,19,Levante,LaLiga,2025/2026
32,20,Real Oviedo,LaLiga,2025/2026
33,1,Barcelona,LaLiga,2025/2026
33,2,Real Madrid,LaLiga,2025/2026
33,3,Villarreal,LaLiga,2025/2026
33,4,Atlético,LaLiga,2025/2026
33,5,Real Betis,LaLiga,2025/2026
33,6,Getafe,LaLiga,2025/2026
33,7,Celta de Vigo,LaLiga,2025/2026
33,8,Real Sociedad,LaLiga,2025/2026
33,9,CA Osasuna,LaLiga,2025/2026
33,10,Athletic Club,LaLiga,2025/2026
33,11,Valencia,LaLiga,2025/2026
33,12,Rayo Vallecano,LaLiga,2025/2026
33,13,Espanyol,LaLiga,2025/2026
33,14,Elche CF,LaLiga,2025/2026
33,15,Girona,LaLiga,2025/2026
33,16,Alavés,LaLiga,2025/2026
33,17,RCD Mallorca,LaLiga,2025/2026
33,18,Sevilla FC,LaLiga,2025/2026
33,19,Levante,LaLiga,2025/2026
33,20,Real Oviedo,LaLiga,2025/2026
34,1,Barcelona,LaLiga,2025/2026
34,2,Real Madrid,LaLiga,2025/2026
34,3,Villarreal,LaLiga,2025/2026
34,4,Atlético,LaLiga,2025/2026
34,5,Real Betis,LaLiga,2025/2026
34,6,Celta de Vigo,LaLiga,2025/2026
34,7,Getafe,LaLiga,2025/2026
34,8,Athletic Club,LaLiga,2025/2026
34,9,Real Sociedad,LaLiga,2025/2026
34,10,CA Osasuna,LaLiga,2025/2026
34,11,Rayo Vallecano,LaLiga,2025/2026
34,12,Valencia,LaLiga,2025/2026
34,13,Espanyol,LaLiga,2025/2026
34,14,Elche CF,LaLiga,2025/2026
34,15,RCD Mallorca,LaLiga,2025/2026
34,16,Girona,LaLiga,2025/2026
34,17,Sevilla FC,LaLiga,2025/2026
34,18,Alavés,LaLiga,2025/2026
34,19,Levante,LaLiga,2025/2026
34,20,Real Oviedo,LaLiga,2025/2026
35,1,Barcelona,LaLiga,2025/2026
35,2,Real Madrid,LaLiga,2025/2026
35,3,Villarreal,LaLiga,2025/2026
35,4,Atlético,LaLiga,2025/2026
35,5,Real Betis,LaLiga,2025/2026
35,6,Celta de Vigo,LaLiga,2025/2026
35,7,Getafe,LaLiga,2025/2026
35,8,Real Sociedad,LaLiga,2025/2026
35,9,Athletic Club,LaLiga,2025/2026
35,10,Rayo Vallecano,LaLiga,2025/2026
35,11,CA Osasuna,LaLiga,2025/2026
35,12,Valencia,LaLiga,2025/2026
35,13,Sevilla FC,LaLiga,2025/2026
35,14,RCD Mallorca,LaLiga,2025/2026
35,15,Espanyol,LaLiga,2025/2026
35,16,Elche CF,LaLiga,2025/2026
35,17,Girona,LaLiga,2025/2026
35,18,Alavés,LaLiga,2025/2026
35,19,Levante,LaLiga,2025/2026
35,20,Real Oviedo,LaLiga,2025/2026
36,1,Barcelona,LaLiga,2025/2026
36,2,Real Madrid,LaLiga,2025/2026
36,3,Villarreal,LaLiga,2025/2026
36,4,Atlético,LaLiga,2025/2026
36,5,Real Betis,LaLiga,2025/2026
36,6,Celta de Vigo,LaLiga,2025/2026
36,7,Getafe,LaLiga,2025/2026
36,8,Real Sociedad,LaLiga,2025/2026
36,9,Athletic Club,LaLiga,2025/2026
36,10,Rayo Vallecano,LaLiga,2025/2026
36,11,Valencia,LaLiga,2025/2026
36,12,Sevilla FC,LaLiga,2025/2026
36,13,Espanyol,LaLiga,2025/2026
36,14,CA Osasuna,LaLiga,2025/2026
36,15,Girona,LaLiga,2025/2026
36,16,Alavés,LaLiga,2025/2026
36,17,Elche CF,LaLiga,2025/2026
36,18,RCD Mallorca,LaLiga,2025/2026
36,19,Levante,LaLiga,2025/2026
36,20,Real Oviedo,LaLiga,2025/2026
37,1,Barcelona,LaLiga,2025/2026
37,2,Real Madrid,LaLiga,2025/2026
37,3,Atlético,LaLiga,2025/2026
37,4,Villarreal,LaLiga,2025/2026
37,5,Real Betis,LaLiga,2025/2026
37,6,Celta de Vigo,LaLiga,2025/2026
37,7,Getafe,LaLiga,2025/2026
37,8,Rayo Vallecano,LaLiga,2025/2026
37,9,Valencia,LaLiga,2025/2026
37,10,Espanyol,LaLiga,2025/2026
37,11,Real Sociedad,LaLiga,2025/2026
37,12,Athletic Club,LaLiga,2025/2026
37,13,Sevilla FC,LaLiga,2025/2026
37,14,Alavés,LaLiga,2025/2026
37,15,Levante,LaLiga,2025/2026
37,16,CA Osasuna,LaLiga,2025/2026
37,17,Elche CF,LaLiga,2025/2026
37,18,Girona,LaLiga,2025/2026
37,19,RCD Mallorca,LaLiga,2025/2026
37,20,Real Oviedo,LaLiga,2025/2026
38,1,Barcelona,LaLiga,2025/2026
38,2,Real Madrid,LaLiga,2025/2026
38,3,Villarreal,LaLiga,2025/2026
38,4,Atlético,LaLiga,2025/2026
38,5,Real Betis,LaLiga,2025/2026
38,6,Celta de Vigo,LaLiga,2025/2026
38,7,Getafe,LaLiga,2025/2026
38,8,Rayo Vallecano,LaLiga,2025/2026
38,9,Valencia,LaLiga,2025/2026
38,10,Real Sociedad,LaLiga,2025/2026
38,11,Espanyol,LaLiga,2025/2026
38,12,Athletic Club,LaLiga,2025/2026
38,13,Sevilla FC,LaLiga,2025/2026
38,14,Alavés,LaLiga,2025/2026
38,15,Elche CF,LaLiga,2025/2026
38,16,Levante,LaLiga,2025/2026
38,17,CA Osasuna,LaLiga,2025/2026
38,18,RCD Mallorca,LaLiga,2025/2026
38,19,Girona,LaLiga,2025/2026
38,20,Real Oviedo,LaLiga,2025/2026
1,1,Man City,Premier League,2025/2026
1,2,Sunderland,Premier League,2025/2026
1,3,Tottenham,Premier League,2025/2026
1,4,Liverpool,Premier League,2025/2026
1,5,Nott'm Forest,Premier League,2025/2026
1,6,Arsenal,Premier League,2025/2026
1,7,Leeds,Premier League,2025/2026
1,8,Brighton,Premier League,2025/2026
1,9,Fulham,Premier League,2025/2026
1,10,Aston Villa,Premier League,2025/2026
1,11,Chelsea,Premier League,2025/2026
1,12,Crystal Palace,Premier League,2025/2026
1,13,Newcastle,Premier League,2025/2026
1,14,Everton,Premier League,2025/2026
1,15,Man Utd,Premier League,2025/2026
1,16,Bournemouth,Premier League,2025/2026
1,17,Brentford,Premier League,2025/2026
1,18,Burnley,Premier League,2025/2026
1,19,West Ham,Premier League,2025/2026
1,20,Wolves,Premier League,2025/2026
2,1,Arsenal,Premier League,2025/2026
2,2,Tottenham,Premier League,2025/2026
2,3,Liverpool,Premier League,2025/2026
2,4,Chelsea,Premier League,2025/2026
2,5,Nott'm Forest,Premier League,2025/2026
2,6,Man City,Premier League,2025/2026
2,7,Sunderland,Premier League,2025/2026
2,8,Everton,Premier League,2025/2026
2,9,Bournemouth,Premier League,2025/2026
2,10,Brentford,Premier League,2025/2026
2,11,Burnley,Premier League,2025/2026
2,12,Leeds,Premier League,2025/2026
2,13,Fulham,Premier League,2025/2026
2,14,Crystal Palace,Premier League,2025/2026
2,15,Newcastle,Premier League,2025/2026
2,16,Man Utd,Premier League,2025/2026
2,17,Aston Villa,Premier League,2025/2026
2,18,Brighton,Premier League,2025/2026
2,19,Wolves,Premier League,2025/2026
2,20,West Ham,Premier League,2025/2026
3,1,Liverpool,Premier League,2025/2026
3,2,Chelsea,Premier League,2025/2026
3,3,Arsenal,Premier League,2025/2026
3,4,Tottenham,Premier League,2025/2026
3,5,Everton,Premier League,2025/2026
3,6,Sunderland,Premier League,2025/2026
3,7,Bournemouth,Premier League,2025/2026
3,8,Crystal Palace,Premier League,2025/2026
3,9,Man Utd,Premier League,2025/2026
3,10,Nott'm Forest,Premier League,2025/2026
3,11,Brighton,Premier League,2025/2026
3,12,Leeds,Premier League,2025/2026
3,13,Man City,Premier League,2025/2026
3,14,Burnley,Premier League,2025/2026
3,15,Brentford,Premier League,2025/2026
3,16,West Ham,Premier League,2025/2026
3,17,Newcastle,Premier League,2025/2026
3,18,Fulham,Premier League,2025/2026
3,19,Aston Villa,Premier League,2025/2026
3,20,Wolves,Premier League,2025/2026
4,1,Liverpool,Premier League,2025/2026
4,2,Arsenal,Premier League,2025/2026
4,3,Tottenham,Premier League,2025/2026
4,4,Bournemouth,Premier League,2025/2026
4,5,Chelsea,Premier League,2025/2026
4,6,Everton,Premier League,2025/2026
4,7,Sunderland,Premier League,2025/2026
4,8,Man City,Premier League,2025/2026
4,9,Crystal Palace,Premier League,2025/2026
4,10,Newcastle,Premier League,2025/2026
4,11,Fulham,Premier League,2025/2026
4,12,Brentford,Premier League,2025/2026
4,13,Brighton,Premier League,2025/2026
4,14,Man Utd,Premier League,2025/2026
4,15,Nott'm Forest,Premier League,2025/2026
4,16,Leeds,Premier League,2025/2026
4,17,Burnley,Premier League,2025/2026
4,18,West Ham,Premier League,2025/2026
4,19,Aston Villa,Premier League,2025/2026
4,20,Wolves,Premier League,2025/2026
5,1,Liverpool,Premier League,2025/2026
5,2,Arsenal,Premier League,2025/2026
5,3,Tottenham,Premier League,2025/2026
5,4,Bournemouth,Premier League,2025/2026
5,5,Crystal Palace,Premier League,2025/2026
5,6,Chelsea,Premier League,2025/2026
5,7,Sunderland,Premier League,2025/2026
5,8,Fulham,Premier League,2025/2026
5,9,Man City,Premier League,2025/2026
5,10,Everton,Premier League,2025/2026
5,11,Man Utd,Premier League,2025/2026
5,12,Leeds,Premier League,2025/2026
5,13,Newcastle,Premier League,2025/2026
5,14,Brighton,Premier League,2025/2026
5,15,Nott'm Forest,Premier League,2025/2026
5,16,Burnley,Premier League,2025/2026
5,17,Brentford,Premier League,2025/2026
5,18,Aston Villa,Premier League,2025/2026
5,19,West Ham,Premier League,2025/2026
5,20,Wolves,Premier League,2025/2026
6,1,Liverpool,Premier League,2025/2026
6,2,Arsenal,Premier League,2025/2026
6,3,Crystal Palace,Premier League,2025/2026
6,4,Tottenham,Premier League,2025/2026
6,5,Sunderland,Premier League,2025/2026
6,6,Bournemouth,Premier League,2025/2026
6,7,Man City,Premier League,2025/2026
6,8,Chelsea,Premier League,2025/2026
6,9,Everton,Premier League,2025/2026
6,10,Brighton,Premier League,2025/2026
6,11,Fulham,Premier League,2025/2026
6,12,Leeds,Premier League,2025/2026
6,13,Brentford,Premier League,2025/2026
6,14,Man Utd,Premier League,2025/2026
6,15,Newcastle,Premier League,2025/2026
6,16,Aston Villa,Premier League,2025/2026
6,17,Nott'm Forest,Premier League,2025/2026
6,18,Burnley,Premier League,2025/2026
6,19,West Ham,Premier League,2025/2026
6,20,Wolves,Premier League,2025/2026
7,1,Arsenal,Premier League,2025/2026
7,2,Liverpool,Premier League,2025/2026
7,3,Tottenham,Premier League,2025/2026
7,4,Bournemouth,Premier League,2025/2026
7,5,Man City,Premier League,2025/2026
7,6,Crystal Palace,Premier League,2025/2026
7,7,Chelsea,Premier League,2025/2026
7,8,Everton,Premier League,2025/2026
7,9,Sunderland,Premier League,2025/2026
7,10,Man Utd,Premier League,2025/2026
7,11,Newcastle,Premier League,2025/2026
7,12,Brighton,Premier League,2025/2026
7,13,Aston Villa,Premier League,2025/2026
7,14,Fulham,Premier League,2025/2026
7,15,Leeds,Premier League,2025/2026
7,16,Brentford,Premier League,2025/2026
7,17,Nott'm Forest,Premier League,2025/2026
7,18,Burnley,Premier League,2025/2026
7,19,West Ham,Premier League,2025/2026
7,20,Wolves,Premier League,2025/2026
8,1,Arsenal,Premier League,2025/2026
8,2,Man City,Premier League,2025/2026
8,3,Bournemouth,Premier League,2025/2026
8,4,Liverpool,Premier League,2025/2026
8,5,Chelsea,Premier League,2025/2026
8,6,Tottenham,Premier League,2025/2026
8,7,Sunderland,Premier League,2025/2026
8,8,Crystal Palace,Premier League,2025/2026
8,9,Man Utd,Premier League,2025/2026
8,10,Brighton,Premier League,2025/2026
8,11,Aston Villa,Premier League,2025/2026
8,12,Everton,Premier League,2025/2026
8,13,Brentford,Premier League,2025/2026
8,14,Newcastle,Premier League,2025/2026
8,15,Fulham,Premier League,2025/2026
8,16,Leeds,Premier League,2025/2026
8,17,Burnley,Premier League,2025/2026
8,18,Nott'm Forest,Premier League,2025/2026
8,19,West Ham,Premier League,2025/2026
8,20,Wolves,Premier League,2025/2026
9,1,Arsenal,Premier League,2025/2026
9,2,Bournemouth,Premier League,2025/2026
9,3,Tottenham,Premier League,2025/2026
9,4,Sunderland,Premier League,2025/2026
9,5,Man City,Premier League,2025/2026
9,6,Man Utd,Premier League,2025/2026
9,7,Liverpool,Premier League,2025/2026
9,8,Aston Villa,Premier League,2025/2026
9,9,Chelsea,Premier League,2025/2026
9,10,Crystal Palace,Premier League,2025/2026
9,11,Brentford,Premier League,2025/2026
9,12,Newcastle,Premier League,2025/2026
9,13,Brighton,Premier League,2025/2026
9,14,Everton,Premier League,2025/2026
9,15,Leeds,Premier League,2025/2026
9,16,Burnley,Premier League,2025/2026
9,17,Fulham,Premier League,2025/2026
9,18,Nott'm Forest,Premier League,2025/2026
9,19,West Ham,Premier League,2025/2026
9,20,Wolves,Premier League,2025/2026
10,1,Arsenal,Premier League,2025/2026
10,2,Man City,Premier League,2025/2026
10,3,Liverpool,Premier League,2025/2026
10,4,Sunderland,Premier League,2025/2026
10,5,Bournemouth,Premier League,2025/2026
10,6,Tottenham,Premier League,2025/2026
10,7,Chelsea,Premier League,2025/2026
10,8,Man Utd,Premier League,2025/2026
10,9,Crystal Palace,Premier League,2025/2026
10,10,Brighton,Premier League,2025/2026
10,11,Aston Villa,Premier League,2025/2026
10,12,Brentford,Premier League,2025/2026
10,13,Newcastle,Premier League,2025/2026
10,14,Everton,Premier League,2025/2026
10,15,Fulham,Premier League,2025/2026
10,16,Leeds,Premier League,2025/2026
10,17,Burnley,Premier League,2025/2026
10,18,West Ham,Premier League,2025/2026
10,19,Nott'm Forest,Premier League,2025/2026
10,20,Wolves,Premier League,2025/2026
11,1,Arsenal,Premier League,2025/2026
11,2,Man City,Premier League,2025/2026
11,3,Chelsea,Premier League,2025/2026
11,4,Sunderland,Premier League,2025/2026
11,5,Tottenham,Premier League,2025/2026
11,6,Aston Villa,Premier League,2025/2026
11,7,Man Utd,Premier League,2025/2026
11,8,Liverpool,Premier League,2025/2026
11,9,Bournemouth,Premier League,2025/2026
11,10,Crystal Palace,Premier League,2025/2026
11,11,Brighton,Premier League,2025/2026
11,12,Brentford,Premier League,2025/2026
11,13,Everton,Premier League,2025/2026
11,14,Newcastle,Premier League,2025/2026
11,15,Fulham,Premier League,2025/2026
11,16,Leeds,Premier League,2025/2026
11,17,Burnley,Premier League,2025/2026
11,18,West Ham,Premier League,2025/2026
11,19,Nott'm Forest,Premier League,2025/2026
11,20,Wolves,Premier League,2025/2026
12,1,Arsenal,Premier League,2025/2026
12,2,Chelsea,Premier League,2025/2026
12,3,Man City,Premier League,2025/2026
12,4,Aston Villa,Premier League,2025/2026
12,5,Crystal Palace,Premier League,2025/2026
12,6,Brighton,Premier League,2025/2026
12,7,Sunderland,Premier League,2025/2026
12,8,Bournemouth,Premier League,2025/2026
12,9,Tottenham,Premier League,2025/2026
12,10,Man Utd,Premier League,2025/2026
12,11,Everton,Premier League,2025/2026
12,12,Liverpool,Premier League,2025/2026
12,13,Brentford,Premier League,2025/2026
12,14,Newcastle,Premier League,2025/2026
12,15,Fulham,Premier League,2025/2026
12,16,Nott'm Forest,Premier League,2025/2026
12,17,West Ham,Premier League,2025/2026
12,18,Leeds,Premier League,2025/2026
12,19,Burnley,Premier League,2025/2026
12,20,Wolves,Premier League,2025/2026
13,1,Arsenal,Premier League,2025/2026
13,2,Man City,Premier League,2025/2026
13,3,Chelsea,Premier League,2025/2026
13,4,Aston Villa,Premier League,2025/2026
13,5,Brighton,Premier League,2025/2026
13,6,Sunderland,Premier League,2025/2026
13,7,Man Utd,Premier League,2025/2026
13,8,Liverpool,Premier League,2025/2026
13,9,Crystal Palace,Premier League,2025/2026
13,10,Brentford,Premier League,2025/2026
13,11,Bournemouth,Premier League,2025/2026
13,12,Tottenham,Premier League,2025/2026
13,13,Newcastle,Premier League,2025/2026
13,14,Everton,Premier League,2025/2026
13,15,Fulham,Premier League,2025/2026
13,16,Nott'm Forest,Premier League,2025/2026
13,17,West Ham,Premier League,2025/2026
13,18,Leeds,Premier League,2025/2026
13,19,Burnley,Premier League,2025/2026
13,20,Wolves,Premier League,2025/2026
14,1,Arsenal,Premier League,2025/2026
14,2,Man City,Premier League,2025/2026
14,3,Aston Villa,Premier League,2025/2026
14,4,Chelsea,Premier League,2025/2026
14,5,Crystal Palace,Premier League,2025/2026
14,6,Sunderland,Premier League,2025/2026
14,7,Brighton,Premier League,2025/2026
14,8,Man Utd,Premier League,2025/2026
14,9,Liverpool,Premier League,2025/2026
14,10,Everton,Premier League,2025/2026
14,11,Tottenham,Premier League,2025/2026
14,12,Newcastle,Premier League,2025/2026
14,13,Brentford,Premier League,2025/2026
14,14,Bournemouth,Premier League,2025/2026
14,15,Fulham,Premier League,2025/2026
14,16,Nott'm Forest,Premier League,2025/2026
14,17,Leeds,Premier League,2025/2026
14,18,West Ham,Premier League,2025/2026
14,19,Burnley,Premier League,2025/2026
14,20,Wolves,Premier League,2025/2026
15,1,Arsenal,Premier League,2025/2026
15,2,Man City,Premier League,2025/2026
15,3,Aston Villa,Premier League,2025/2026
15,4,Crystal Palace,Premier League,2025/2026
15,5,Chelsea,Premier League,2025/2026
15,6,Man Utd,Premier League,2025/2026
15,7,Everton,Premier League,2025/2026
15,8,Brighton,Premier League,2025/2026
15,9,Sunderland,Premier League,2025/2026
15,10,Liverpool,Premier League,2025/2026
15,11,Tottenham,Premier League,2025/2026
15,12,Newcastle,Premier League,2025/2026
15,13,Bournemouth,Premier League,2025/2026
15,14,Brentford,Premier League,2025/2026
15,15,Fulham,Premier League,2025/2026
15,16,Leeds,Premier League,2025/2026
15,17,Nott'm Forest,Premier League,2025/2026
15,18,West Ham,Premier League,2025/2026
15,19,Burnley,Premier League,2025/2026
15,20,Wolves,Premier League,2025/2026
16,1,Arsenal,Premier League,2025/2026
16,2,Man City,Premier League,2025/2026
16,3,Aston Villa,Premier League,2025/2026
16,4,Chelsea,Premier League,2025/2026
16,5,Crystal Palace,Premier League,2025/2026
16,6,Man Utd,Premier League,2025/2026
16,7,Liverpool,Premier League,2025/2026
16,8,Sunderland,Premier League,2025/2026
16,9,Everton,Premier League,2025/2026
16,10,Brighton,Premier League,2025/2026
16,11,Tottenham,Premier League,2025/2026
16,12,Newcastle,Premier League,2025/2026
16,13,Bournemouth,Premier League,2025/2026
16,14,Fulham,Premier League,2025/2026
16,15,Brentford,Premier League,2025/2026
16,16,Nott'm Forest,Premier League,2025/2026
16,17,Leeds,Premier League,2025/2026
16,18,West Ham,Premier League,2025/2026
16,19,Burnley,Premier League,2025/2026
16,20,Wolves,Premier League,2025/2026
17,1,Arsenal,Premier League,2025/2026
17,2,Man City,Premier League,2025/2026
17,3,Aston Villa,Premier League,2025/2026
17,4,Chelsea,Premier League,2025/2026
17,5,Liverpool,Premier League,2025/2026
17,6,Sunderland,Premier League,2025/2026
17,7,Man Utd,Premier League,2025/2026
17,8,Crystal Palace,Premier League,2025/2026
17,9,Brighton,Premier League,2025/2026
17,10,Everton,Premier League,2025/2026
17,11,Newcastle,Premier League,2025/2026
17,12,Brentford,Premier League,2025/2026
17,13,Fulham,Premier League,2025/2026
17,14,Tottenham,Premier League,2025/2026
17,15,Bournemouth,Premier League,2025/2026
17,16,Leeds,Premier League,2025/2026
17,17,Nott'm Forest,Premier League,2025/2026
17,18,West Ham,Premier League,2025/2026
17,19,Burnley,Premier League,2025/2026
17,20,Wolves,Premier League,2025/2026
18,1,Arsenal,Premier League,2025/2026
18,2,Man City,Premier League,2025/2026
18,3,Aston Villa,Premier League,2025/2026
18,4,Liverpool,Premier League,2025/2026
18,5,Chelsea,Premier League,2025/2026
18,6,Man Utd,Premier League,2025/2026
18,7,Sunderland,Premier League,2025/2026
18,8,Brentford,Premier League,2025/2026
18,9,Crystal Palace,Premier League,2025/2026
18,10,Fulham,Premier League,2025/2026
18,11,Tottenham,Premier League,2025/2026
18,12,Everton,Premier League,2025/2026
18,13,Brighton,Premier League,2025/2026
18,14,Newcastle,Premier League,2025/2026
18,15,Bournemouth,Premier League,2025/2026
18,16,Leeds,Premier League,2025/2026
18,17,Nott'm Forest,Premier League,2025/2026
18,18,West Ham,Premier League,2025/2026
18,19,Burnley,Premier League,2025/2026
18,20,Wolves,Premier League,2025/2026
19,1,Arsenal,Premier League,2025/2026
19,2,Man City,Premier League,2025/2026
19,3,Aston Villa,Premier League,2025/2026
19,4,Liverpool,Premier League,2025/2026
19,5,Chelsea,Premier League,2025/2026
19,6,Man Utd,Premier League,2025/2026
19,7,Sunderland,Premier League,2025/2026
19,8,Everton,Premier League,2025/2026
19,9,Brentford,Premier League,2025/2026
19,10,Crystal Palace,Premier League,2025/2026
19,11,Fulham,Premier League,2025/2026
19,12,Tottenham,Premier League,2025/2026
19,13,Newcastle,Premier League,2025/2026
19,14,Brighton,Premier League,2025/2026
19,15,Bournemouth,Premier League,2025/2026
19,16,Leeds,Premier League,2025/2026
19,17,Nott'm Forest,Premier League,2025/2026
19,18,West Ham,Premier League,2025/2026
19,19,Burnley,Premier League,2025/2026
19,20,Wolves,Premier League,2025/2026
20,1,Arsenal,Premier League,2025/2026
20,2,Man City,Premier League,2025/2026
20,3,Aston Villa,Premier League,2025/2026
20,4,Liverpool,Premier League,2025/2026
20,5,Chelsea,Premier League,2025/2026
20,6,Man Utd,Premier League,2025/2026
20,7,Brentford,Premier League,2025/2026
20,8,Sunderland,Premier League,2025/2026
20,9,Newcastle,Premier League,2025/2026
20,10,Brighton,Premier League,2025/2026
20,11,Fulham,Premier League,2025/2026
20,12,Everton,Premier League,2025/2026
20,13,Tottenham,Premier League,2025/2026
20,14,Crystal Palace,Premier League,2025/2026
20,15,Bournemouth,Premier League,2025/2026
20,16,Leeds,Premier League,2025/2026
20,17,Nott'm Forest,Premier League,2025/2026
20,18,West Ham,Premier League,2025/2026
20,19,Burnley,Premier League,2025/2026
20,20,Wolves,Premier League,2025/2026
21,1,Arsenal,Premier League,2025/2026
21,2,Man City,Premier League,2025/2026
21,3,Aston Villa,Premier League,2025/2026
21,4,Liverpool,Premier League,2025/2026
21,5,Brentford,Premier League,2025/2026
21,6,Newcastle,Premier League,2025/2026
21,7,Man Utd,Premier League,2025/2026
21,8,Chelsea,Premier League,2025/2026
21,9,Fulham,Premier League,2025/2026
21,10,Sunderland,Premier League,2025/2026
21,11,Brighton,Premier League,2025/2026
21,12,Everton,Premier League,2025/2026
21,13,Crystal Palace,Premier League,2025/2026
21,14,Tottenham,Premier League,2025/2026
21,15,Bournemouth,Premier League,2025/2026
21,16,Leeds,Premier League,2025/2026
21,17,Nott'm Forest,Premier League,2025/2026
21,18,West Ham,Premier League,2025/2026
21,19,Burnley,Premier League,2025/2026
21,20,Wolves,Premier League,2025/2026
22,1,Arsenal,Premier League,2025/2026
22,2,Man City,Premier League,2025/2026
22,3,Aston Villa,Premier League,2025/2026
22,4,Liverpool,Premier League,2025/2026
22,5,Man Utd,Premier League,2025/2026
22,6,Chelsea,Premier League,2025/2026
22,7,Brentford,Premier League,2025/2026
22,8,Newcastle,Premier League,2025/2026
22,9,Sunderland,Premier League,2025/2026
22,10,Everton,Premier League,2025/2026
22,11,Fulham,Premier League,2025/2026
22,12,Brighton,Premier League,2025/2026
22,13,Crystal Palace,Premier League,2025/2026
22,14,Tottenham,Premier League,2025/2026
22,15,Bournemouth,Premier League,2025/2026
22,16,Leeds,Premier League,2025/2026
22,17,Nott'm Forest,Premier League,2025/2026
22,18,West Ham,Premier League,2025/2026
22,19,Burnley,Premier League,2025/2026
22,20,Wolves,Premier League,2025/2026
23,1,Arsenal,Premier League,2025/2026
23,2,Man City,Premier League,2025/2026
23,3,Aston Villa,Premier League,2025/2026
23,4,Man Utd,Premier League,2025/2026
23,5,Chelsea,Premier League,2025/2026
23,6,Liverpool,Premier League,2025/2026
23,7,Fulham,Premier League,2025/2026
23,8,Brentford,Premier League,2025/2026
23,9,Newcastle,Premier League,2025/2026
23,10,Everton,Premier League,2025/2026
23,11,Sunderland,Premier League,2025/2026
23,12,Brighton,Premier League,2025/2026
23,13,Bournemouth,Premier League,2025/2026
23,14,Tottenham,Premier League,2025/2026
23,15,Crystal Palace,Premier League,2025/2026
23,16,Leeds,Premier League,2025/2026
23,17,Nott'm Forest,Premier League,2025/2026
23,18,West Ham,Premier League,2025/2026
23,19,Burnley,Premier League,2025/2026
23,20,Wolves,Premier League,2025/2026
24,1,Arsenal,Premier League,2025/2026
24,2,Man City,Premier League,2025/2026
24,3,Aston Villa,Premier League,2025/2026
24,4,Man Utd,Premier League,2025/2026
24,5,Chelsea,Premier League,2025/2026
24,6,Liverpool,Premier League,2025/2026
24,7,Brentford,Premier League,2025/2026
24,8,Sunderland,Premier League,2025/2026
24,9,Fulham,Premier League,2025/2026
24,10,Everton,Premier League,2025/2026
24,11,Newcastle,Premier League,2025/2026
24,12,Bournemouth,Premier League,2025/2026
24,13,Brighton,Premier League,2025/2026
24,14,Tottenham,Premier League,2025/2026
24,15,Crystal Palace,Premier League,2025/2026
24,16,Leeds,Premier League,2025/2026
24,17,Nott'm Forest,Premier League,2025/2026
24,18,West Ham,Premier League,2025/2026
24,19,Burnley,Premier League,2025/2026
24,20,Wolves,Premier League,2025/2026
25,1,Arsenal,Premier League,2025/2026
25,2,Man City,Premier League,2025/2026
25,3,Aston Villa,Premier League,2025/2026
25,4,Man Utd,Premier League,2025/2026
25,5,Chelsea,Premier League,2025/2026
25,6,Liverpool,Premier League,2025/2026
25,7,Brentford,Premier League,2025/2026
25,8,Everton,Premier League,2025/2026
25,9,Sunderland,Premier League,2025/2026
25,10,Fulham,Premier League,2025/2026
25,11,Bournemouth,Premier League,2025/2026
25,12,Newcastle,Premier League,2025/2026
25,13,Crystal Palace,Premier League,2025/2026
25,14,Brighton,Premier League,2025/2026
25,15,Tottenham,Premier League,2025/2026
25,16,Leeds,Premier League,2025/2026
25,17,Nott'm Forest,Premier League,2025/2026
25,18,West Ham,Premier League,2025/2026
25,19,Burnley,Premier League,2025/2026
25,20,Wolves,Premier League,2025/2026
26,1,Arsenal,Premier League,2025/2026
26,2,Man City,Premier League,2025/2026
26,3,Aston Villa,Premier League,2025/2026
26,4,Man Utd,Premier League,2025/2026
26,5,Chelsea,Premier League,2025/2026
26,6,Liverpool,Premier League,2025/2026
26,7,Brentford,Premier League,2025/2026
26,8,Everton,Premier League,2025/2026
26,9,Bournemouth,Premier League,2025/2026
26,10,Newcastle,Premier League,2025/2026
26,11,Sunderland,Premier League,2025/2026
26,12,Fulham,Premier League,2025/2026
26,13,Crystal Palace,Premier League,2025/2026
26,14,Brighton,Premier League,2025/2026
26,15,Leeds,Premier League,2025/2026
26,16,Tottenham,Premier League,2025/2026
26,17,Nott'm Forest,Premier League,2025/2026
