position,team_name_besoccer,team_id_besoccer,elo_besoccer,url_team_besoccer,league,season
20,Pisa,1973,80,https://www.besoccer.com/team/pisa-calcio,Serie a,2026
1,Arsenal,263,94,https://www.besoccer.com/team/arsenal,Premier League,2026
2,Manchester City,1633,93,https://www.besoccer.com/team/manchester-city-fc,Premier League,2026
3,Manchester United,1635,89,https://www.besoccer.com/team/manchester-united-fc,Premier League,2026
4,Aston Villa,297,89,https://www.besoccer.com/team/aston-villa-fc,Premier League,2026
5,Liverpool,3845,95,https://www.besoccer.com/team/liverpool,Premier League,2026
6,AFC Bournemouth,80,86,https://www.besoccer.com/team/afc-bournemouth,Premier League,2026
7,Sunderland,2438,77,https://www.besoccer.com/team/sunderland-afc,Premier League,2026
8,Brighton & Hove Albion,5652,88,https://www.besoccer.com/team/brighton-amp-hov,Premier League,2026
9,Brentford,9179,86,https://www.besoccer.com/team/brentford,Premier League,2026
10,Chelsea,752,91,https://www.besoccer.com/team/chelsea-fc,Premier League,2026
11,Fulham,1183,86,https://www.besoccer.com/team/fulham,Premier League,2026
12,Newcastle United,1796,90,https://www.besoccer.com/team/newcastle-united-fc,Premier League,2026
13,Everton,1017,85,https://www.besoccer.com/team/everton-fc,Premier League,2026
14,Leeds United,1533,84,https://www.besoccer.com/team/leeds-united-afc,Premier League,2026
15,Crystal Palace,860,88,https://www.besoccer.com/team/crystal-palace-fc,Premier League,2026
16,Nottingham Forest,1825,85,https://www.besoccer.com/team/nottingham-forest-fc,Premier League,2026
17,Tottenham Hotspur,2523,88,https://www.besoccer.com/team/tottenham-hotspur-fc,Premier League,2026
18,West Ham United,2804,84,https://www.besoccer.com/team/west-ham-united,Premier League,2026
19,Burnley,569,84,https://www.besoccer.com/team/burnley-fc,Premier League,2026
20,Wolverhampton Wanderers,5651,84,https://www.besoccer.com/team/wolverhampton,Premier League,2026
1,Borussia Dortmund,530,90,https://www.besoccer.com/team/borussia-dortmund,Bundesliga,2027
2,Bayer Leverkusen,3668,93,https://www.besoccer.com/team/bayer-leverkusen,Bundesliga,2027
3,Borussia Mönchengladbach,5623,85,https://www.besoccer.com/team/borussia-monchengla,Bundesliga,2027
4,Bayern München,449,94,https://www.besoccer.com/team/bayern-munchen,Bundesliga,2027
5,Eintracht Frankfurt,960,88,https://www.besoccer.com/team/eintracht-frankfurt,Bundesliga,2027
6,Augsburg,1039,82,https://www.besoccer.com/team/fc-augsburg,Bundesliga,2027
7,Hamburger SV,1286,80,https://www.besoccer.com/team/hamburger-sv,Bundesliga,2027
8,Hoffenheim,2542,84,https://www.besoccer.com/team/tsg-1899-hoffenheim,Bundesliga,2027
9,1. FC Köln,4,82,https://www.besoccer.com/team/1-fc-koln,Bundesliga,2027
10,Mainz 05,2987,86,https://www.besoccer.com/team/mainz-amat,Bundesliga,2027
11,Paderborn,4800,78,https://www.besoccer.com/team/paderborn,Bundesliga,2027
12,RB Leipzig,9750,89,https://www.besoccer.com/team/rb-leipzig,Bundesliga,2027
13,Freiburg,2286,85,https://www.besoccer.com/team/sc-freiburg,Bundesliga,2027
14,Schalke 04,2294,73,https://www.besoccer.com/team/schalke-04,Bundesliga,2027
15,VfB Stuttgart,2433,88,https://www.besoccer.com/team/stuttgart,Bundesliga,2027
16,Elversberg,2900,76,https://www.besoccer.com/team/elversberg,Bundesliga,2027
17,Union Berlin,8,82,https://www.besoccer.com/team/1-fc-union-berlin,Bundesliga,2027
18,Werder Bremen,2746,84,https://www.besoccer.com/team/werder-bremen,Bundesliga,2027
1,Deportivo Alaves,137,82,https://www.besoccer.com/team/alaves,LaLiga,2027
2,Sevilla,1102,85,https://www.besoccer.com/team/sevilla,LaLiga,2027
3,Athletic Club,347,90,https://www.besoccer.com/team/athletic-bilbao,LaLiga,2027
4,Atletico Madrid,369,92,https://www.besoccer.com/team/atletico-madrid,LaLiga,2027
5,Celta Vigo,712,85,https://www.besoccer.com/team/celta,LaLiga,2027
6,Elche,975,80,https://www.besoccer.com/team/elche,LaLiga,2027
7,Espanyol,998,82,https://www.besoccer.com/team/espanyol,LaLiga,2027
8,Barcelona,429,95,https://www.besoccer.com/team/barcelona,LaLiga,2027
