name_team_fotmob,shortname_team_fotmob,id_team_fotmob,url_team_fotmob,logo_team_fotmob,season,id_league_fotmob,name_league_fotmob,country_code_fotmob,name_venue,city_venue,lat_venue,lon_venue,Surface,Capacity,Opened,url_photo_stadium
Levante,Levante,8581,https://www.fotmob.com/teams/8581/overview/levante,https://images.fotmob.com/image_resources/logo/teamlogo/8581.png,2025/2026,87,LaLiga,ESP,Estadio Ciudad de Valencia,Valencia,39.494685764,-0.363820195,Grass,25534,1969,https://cdn.resfu.com/img_data/estadios/original_new/28.jpg?size=720x432c&lossy=1
Osasuna,Osasuna,8371,https://www.fotmob.com/teams/8371/overview/osasuna,https://images.fotmob.com/image_resources/logo/teamlogo/8371.png,2025/2026,87,LaLiga,ESP,Estadio El Sadar,Pamplona (Iruñea),42.796676994,-1.637141258,Grass,23576,1967,https://cdn.resfu.com/img_data/estadios/original_new/236.jpg?size=720x432c&lossy=1
Mallorca,Mallorca,8661,https://www.fotmob.com/teams/8661/overview/mallorca,https://images.fotmob.com/image_resources/logo/teamlogo/8661.png,2025/2026,87,LaLiga,ESP,Estadi Mallorca Son Moix,Palma de Mallorca,39.589939598,2.630077600,Grass,26020,1999,https://cdn.resfu.com/img_data/estadios/original_new/32.jpg?size=720x432c&lossy=1
Girona,Girona,7732,https://www.fotmob.com/teams/7732/overview/girona,https://images.fotmob.com/image_resources/logo/teamlogo/7732.png,2025/2026,87,LaLiga,ESP,Estadi Municipal de Montilivi,Girona,41.961195406,2.828495353,Grass,14500,1970,https://cdn.resfu.com/img_data/estadios/original_new/289.jpg?size=720x432c&lossy=1
Real Oviedo,Real Oviedo,8670,https://www.fotmob.com/teams/8670/overview/real-oviedo,https://images.fotmob.com/image_resources/logo/teamlogo/8670.png,2025/2026,87,LaLiga,ESP,Estadio Municipal Carlos Tartiere,Oviedo,43.360761592,-5.870261192,Grass,30500,2000,https://cdn.resfu.com/img_data/estadios/original_new/659.jpg?size=720x432c&lossy=1
AFC Bournemouth,Bournemouth,8678,https://www.fotmob.com/teams/8678/overview/afc-bournemouth,https://images.fotmob.com/image_resources/logo/teamlogo/8678.png,2026/2027,47,Premier League,ENG,Vitality Stadium,"Bournemouth, Dorset",50.735240532,-1.838309616,Grass,11307,2001,https://cdn.resfu.com/img_data/estadios/original_new/167.jpg?size=720x432c&lossy=1
Arsenal,Arsenal,9825,https://www.fotmob.com/teams/9825/overview/arsenal,https://images.fotmob.com/image_resources/logo/teamlogo/9825.png,2026/2027,47,Premier League,ENG,Emirates Stadium,London,51.555074614,-0.108457804,Grass,60704,2006,https://cdn.resfu.com/img_data/estadios/original_new/53.jpg?size=720x432c&lossy=1
Aston Villa,Aston Villa,10252,https://www.fotmob.com/teams/10252/overview/aston-villa,https://images.fotmob.com/image_resources/logo/teamlogo/10252.png,2026/2027,47,Premier League,ENG,Villa Park,Birmingham,52.509090736,-1.884841919,Grass,43205,1897,https://cdn.resfu.com/img_data/estadios/original_new/291.jpg?size=720x432c&lossy=1
Brentford,Brentford,9937,https://www.fotmob.com/teams/9937/overview/brentford,https://images.fotmob.com/image_resources/logo/teamlogo/9937.png,2026/2027,47,Premier League,ENG,Gtech Community Stadium,"Brentford, Middlesex",51.490729000,-0.288884000,Grass,17250,2020,https://cdn.resfu.com/img_data/estadios/original_new/5435.jpg?size=720x432c&lossy=1
Brighton & Hove Albion,Brighton,10204,https://www.fotmob.com/teams/10204/overview/brighton-hove-albion,https://images.fotmob.com/image_resources/logo/teamlogo/10204.png,2026/2027,47,Premier League,ENG,American Express Stadium,"Falmer, East Sussex",50.861579551,-0.083642006,Grass,31876,2011,https://cdn.resfu.com/img_data/estadios/original_new/249.jpg?size=720x432c&lossy=1
